,claims,perpectives,undermine_score,support_score,predict_label,gold_label
398,It is fine to kill one to save many,"Intuitively, it is possible to understand that participating in a decision to kill is a priori wrong",2.6986377,-2.7471042000000003,0,0
399,It is fine to kill one to save many,"Intiution explains the reason why the decision to kill is viewed as wrong ,as a general principle.",0.23153576,-0.18228163,0,0
407,Companies should provide alternative interview methods,Would create confusion.,1.6933627,-1.6436686999999999,0,0
412,Africa is really rising,The Continent is still vulnerable to natural disasters,0.34480673,-0.18773621,0,0
414,Sanctions should be used to promote democracy,Sanctions are ineffective because they hurt ordinary people more than leadership.,1.3528206,-1.1636743999999999,0,0
416,Sanctions should be used to promote democracy,Sanctions are ineffective because they can be counterproductive.,1.2880111,-1.1795795,0,0
417,Sanctions should be used to promote democracy,Sanctions cause more harm than good.,1.4247341,-1.3530156999999998,0,0
418,Sanctions should be used to promote democracy,Sanctions can backfire.,2.9009166,-3.0329506,0,0
424,We have to employ mercenaries,PMCs are untrustworthy,0.019498214,-0.066992015,0,0
425,We have to employ mercenaries,PMCs are unpredictable.,2.6332102,-2.6677833,0,0
426,We have to employ mercenaries,PMCs can not be trusted.,2.28222,-2.3236098,0,0
437,Transparency is necessary for security,In security too much transparency endangers lives,0.68603367,-0.54452056,0,0
438,Transparency is necessary for security,Too much transparency can be dangerous.,2.8299496,-2.9400020000000002,0,0
439,Transparency is necessary for security,Putting all your information out there is not safe.,0.9487133,-0.90310436,0,0
440,Transparency is necessary for security,Too much transparency can come at the cost of human lives,1.7620939999999998,-1.6826150000000002,0,0
441,Transparency is necessary for security,Lives can be endangered if there is too much transparency ,1.225786,-1.1085478000000002,0,0
449,Animals should be kept in zoos,Animals should be left in the wild,1.2854753,-1.1252856000000002,0,0
453,Student loan debt should be easier to discharge in bankruptcy,Student loan discharge would incite colleges to raise tuition,2.9942324,-3.1921644000000002,0,0
455,Europe should be federal,The concept of federalism lacks political support,1.7954335,-1.7677363999999998,0,0
470,Europe should be federal,Moves toward federalism will endanger the stability of the EU,2.7322047,-2.8429072,0,0
474,Paparazzi and press intrude too much into celebrities lives,Public figures have a responsibility to be role models,0.95249355,-0.63602924,0,0
477,Parents should have the right to do background checks on those looking after their children,Could lead to vigilante attacks,2.3308372000000004,-2.3487568,0,0
478,Parents should have the right to do background checks on those looking after their children,This could cause Parents to take matters into their own hands.,2.527625,-2.6600409,0,0
479,Parents should have the right to do background checks on those looking after their children,Vigilante attacks can possible happen because of that.,2.7747402,-2.8616295,0,0
494,Encourage fewer people to go to university,We must retain a respect for academia,1.3295611999999999,-1.1150627,0,0
495,Encourage fewer people to go to university,University education gives people something to aim for,1.4440429,-1.2656589,0,0
497,Encourage fewer people to go to university,College graduates are more productive as members of society.,1.5015171999999999,-1.2886046999999998,0,0
498,Encourage fewer people to go to university,An increase of graduates from college is beneficial to those in society who never attend college.,1.5485265,-1.3642372,0,0
505,Encourage fewer people to go to university,College exposes students to diverse people and ideas.,0.94199765,-0.6761326,0,0
506,Encourage fewer people to go to university,One of the benefits of a college education is the exposure it provides to a multitude of people and ideas.,1.4682153,-1.2487663999999998,0,0
507,Encourage fewer people to go to university,College exposes students to a wide  range of experiences and world perspectives.,1.528805,-1.3400676999999999,0,0
514,Encourage fewer people to go to university,The children of college graduates are healthier and more prepared for school.,0.8754278,-0.6180316,0,0
515,Encourage fewer people to go to university,"College graduates tend to have healthier, better educated offspring.",0.11453755,0.07977143,0,0
518,Encourage fewer people to go to university,A college degree is required for an increasing number of jobs.,1.3610877000000001,-1.1322348999999998,0,0
523,Encourage fewer people to go to university,College graduates have more and better employment opportunities.,1.3621117,-1.1028578000000002,0,0
524,Encourage fewer people to go to university,Graduating from college increases employment opportunities.,1.1898543,-0.9624404000000001,0,0
525,Encourage fewer people to go to university,The variety and quality of employment opportunities increases for college graduates.,1.6804681000000001,-1.5489868999999998,0,0
526,Encourage fewer people to go to university,Earning a college degree is a major life achievement.,1.598692,-1.424042,0,0
527,Encourage fewer people to go to university,A college education is a significant accomplishment.,1.608123,-1.4133223999999998,0,0
528,Encourage fewer people to go to university,One of the most important things that one can achieve in their lifetime is a college education. ,1.5003263,-1.3012643999999998,0,0
529,Encourage fewer people to go to university,Young adults learn interpersonal skills in college.,1.4971669,-1.323523,0,0
530,Encourage fewer people to go to university,College imparts interpersonal skills to students.,1.5921958999999999,-1.4441003000000001,0,0
533,Encourage fewer people to go to university,College graduates have lower poverty rates.,0.35197595,-0.13996638,0,0
536,Encourage fewer people to go to university,College education has a high return as an investment.,0.3922348,-0.2164243,0,0
538,Encourage fewer people to go to university,Earning college education is always a worthwhile investment. ,1.0064713,-0.7619123000000001,0,0
539,Encourage fewer people to go to university,Learning is always worthwhile.,0.33755165,-0.1653848,0,0
541,Encourage fewer people to go to university,Learning and education is always a good investment. ,0.9905120999999999,-0.7645241,0,0
545,Encourage fewer people to go to university,Colleges provide networking value.,1.5861471999999999,-1.4436936000000002,0,0
546,Encourage fewer people to go to university,Attending college is a great way to network. ,1.0379311,-0.80806845,0,0
547,Encourage fewer people to go to university,Going to college provides many opportunities to network. ,1.6808162,-1.5549879,0,0
553,Encourage fewer people to go to university,College graduates are healthier and live longer.,0.57185525,-0.3412947,0,0
554,Encourage fewer people to go to university,Health and longevity are associated with graduating from a college.,0.11536555,0.022856228,0,0
555,Encourage fewer people to go to university,College is an investment in health and longevity.,0.24014172,-0.076797515,0,0
556,Encourage fewer people to go to university,College graduates attract higher-paying employers to their communities.,1.2998747,-1.0670207,0,0
557,Encourage fewer people to go to university,Employers are attracted to locales with college graduates. ,0.95635617,-0.7167845,0,0
559,Encourage fewer people to go to university,College allows students to explore career options.,1.7574575000000001,-1.6429572000000001,0,0
560,Encourage fewer people to go to university,Attending college affords great chances to check out career options. ,0.6512366999999999,-0.4571739,0,0
579,We must enforce term limits on the legislative branch of government,"By imposing mandatory term limits on politicians, we are saying the citizens are not capable of making good decisions about their elected officials.",2.5297766,-2.6033816,0,0
580,We must enforce term limits on the legislative branch of government,"Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their leaders on their own.",2.8757792,-2.994834,0,0
581,We must enforce term limits on the legislative branch of government,The use of term limits in politics shows a lack of faith in the ability of voters to choose the best candidate for office.,2.3348017000000003,-2.3956880000000003,0,0
583,We must enforce term limits on the legislative branch of government,"By having term limits, it makes voters feel that they can't decide on a leader by themselves",2.7055547000000004,-2.7839822999999995,0,0
584,We must enforce term limits on the legislative branch of government,"With term limits, voters are not seen as intelligent voters",2.2289531000000005,-2.2561512,0,0
585,We must enforce term limits on the legislative branch of government,"Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their representatives without guidance:",2.8757792,-2.994834,0,0
595,We must enforce term limits on the legislative branch of government,Term limits could lead one to be more dishonest to get the job done quicker,1.7350523000000002,-1.6625054,0,0
596,We must enforce term limits on the legislative branch of government,"Having term limits on some leaders, puts too much power in the hands of non-limited officials.",2.4657993,-2.5297513,0,0
597,We must enforce term limits on the legislative branch of government,"When some leaders are subject to term limits and some are not, the balance of power in uneven.",1.1373851000000001,-1.0689356,0,0
598,We must enforce term limits on the legislative branch of government,"With term limits, there is too much power given to those that aren't leaders",1.2116175,-1.1505333999999998,0,0
599,We must enforce term limits on the legislative branch of government,Term limits take too much power away from the leaders that were chosen,2.8286705000000003,-2.995039,0,0
602,We must enforce term limits on the legislative branch of government,"There are many instances when having a powerful, unlimited executive branch of government is best.",0.48315203,-0.3544834,0,0
604,We must enforce term limits on the legislative branch of government,In some instances it may be better to not have term limits if there is a good leader at the time,2.1220677,-2.1288414,0,0
614,All our actions are determined in some way,"This implies falsely that man operates on pure instinct from which he cannot vary, placing him on the level of animals.",0.8186791999999999,-0.6808658000000001,0,0
615,A celebrity would make a good minister,Celebrities are generally selfish,2.194123,-2.172243,0,0
616,A celebrity would make a good minister,Celebrities only think about themselves,0.39569393,-0.27991158,0,0
624,We should make new years resolutions,There is pressure on you to fail New Year's Resolutions.,1.7077148000000002,-1.6909993000000003,0,0
625,We should make new years resolutions,We shouldn't just do something because it is New Year.,0.7134206,-0.6495701,0,0
629,People should have a right to private education,Private schools lack diversity,1.5199068,-1.5014486,0,0
630,People should have a right to private education,Private schools aren't diverse,0.7491436,-0.6788243,0,0
631,People should have a right to private education,Private schools don't have unique demographics,1.6818693999999998,-1.6111559,0,0
632,People should have a right to private education,One problem with private schools is that they lack diversity,1.6217462999999999,-1.5673264,0,0
633,People should have a right to private education,A lack of diversity is one issue with private schools,0.50039476,-0.46862197,0,0
639,People should have a right to private education,It creates stereotypes and tensions within society,0.63251764,-0.64208454,0,0
641,People should have a right to private education,too many choices lead to substandard outcomes,0.29530662,-0.18463528,0,0
642,People should have a right to private education,Private schools aren't necessarily good for the child.,1.6511605999999999,-1.6202811000000001,0,0
643,People should have a right to private education,what is the best for the child is not always the private education,1.8163826,-1.7617917,0,0
644,People should have a right to private education,Private Schools inhibit reform of the public system,1.0077387,-1.0683643,0,0
674,permit the use of performance enhancing drugs in professional sports,Protecting young and vulnerable athletes,2.6671205000000002,-2.6849947,0,0
675,permit the use of performance enhancing drugs in professional sports,we must sanction the use of performance enhancing drugs in pro sports to protect young and vulnerable athletes.,1.0534763,-0.99239457,0,0
676,permit the use of performance enhancing drugs in professional sports,Performance enhancing drugs are particularly dangerous to young and vulnerable athletes and should therefore be sanctioned.,2.8363175,-2.9472468,0,0
677,permit the use of performance enhancing drugs in professional sports,Drugs will undermine the central philosophy of sport,2.8153496,-2.8968852000000003,0,0
678,permit the use of performance enhancing drugs in professional sports,Sports is about competing on a level playing field and allowing drugs will ruin that.,2.7615101,-2.8635688,0,0
679,permit the use of performance enhancing drugs in professional sports,Sports will become even more dangerous for athletes if they are allowed to take performance enhancing drugs. ,2.8383562999999996,-2.949494,0,0
687,Handguns must be banned in Washington D.C.,The DC Handgun ban is inconsistent with other legislation in the U.S.,1.173707,-1.093183,0,0
715,It is worth voting,My vote does not count,1.6987636000000002,-1.5808282,0,0
716,It is worth voting,My vote is not helpful.,1.951888,-1.8984584,0,0
717,It is worth voting,"When I vote, I don't feel like the vote I have is important.",1.2525135,-1.2147261999999999,0,0
719,It is worth voting,Politicians will simply ignore how we vote,1.9177848999999998,-1.8085846999999997,0,0
720,It is worth voting,Politicians will not pay any attention to our votes.,2.1621566000000003,-2.1583537999999995,0,0
721,It is worth voting,Our votes will not be acknowledged by our representatives.,2.1583542999999996,-2.15669,0,0
723,It is worth voting,Politicians don't care about engaging with me about issues that matter for me.,0.22308703,-0.19623378,0,0
728,Civil liberties should be sacrificed for the greater good,The loss of individual liberty is the start of a slippery slope.,2.8646607000000004,-2.9605165,0,0
729,Civil liberties should be sacrificed for the greater good,Losing individual liberties leads to dangerous times.,2.6142285,-2.669537,0,0
730,Civil liberties should be sacrificed for the greater good,The loss of individual freedoms is the beginning of dark times.,1.8396335,-1.7817290000000001,0,0
736,Fighting should be allowed in hockey.,"Fighting in hockey leads to concussions, mental health problems, and death.",2.8499380000000003,-2.9204058999999996,0,0
739,Fighting should be allowed in hockey.,Fighting at the professional level sets a bad example for kids.,1.7916839,-1.7520188,0,0
745,Boys should go to boys only schools,"boys are more aggressive, violent, stereotypically masculine in boys schools",1.5194404,-1.3746148,0,0
758,The Internet must be censored,People often react poorly to being censored by their governments.,0.48550475,-0.41542843,0,0
773,We support the New START Treaty,The New START treaty harms US nuclear capabilities   ,2.4459248,-2.4877164,0,0
774,We support the New START Treaty,The US Nuclear capabilities are hurt by the New START treaty.,2.9270853999999997,-3.0960329,0,0
775,We support the New START Treaty,There is harm to the nuclear capabilities of the US by New START treaty.,2.845281,-2.9500450000000003,0,0
788,Democracy Is the Best Form of Government,Electorate is not motivated,0.17193048,-0.14046869,0,0
796,Force think tanks to reveal all of their sources of funding,Overregulating think tanks sets a dangerous precedent,2.7776976,-2.874607,0,0
797,Force think tanks to reveal all of their sources of funding,A dangerous precedent is set when you regulate think tanks.,2.2830145,-2.3119226000000004,0,0
801,Force think tanks to reveal all of their sources of funding,Think tanks should be able to choose not to know who funds them,1.1778153999999998,-1.0692487,0,0
802,Force think tanks to reveal all of their sources of funding,Think tanks do not need to know where their funding is from.,2.6888514,-2.7750177000000003,0,0
803,Force think tanks to reveal all of their sources of funding,It is not neccesary for think tanks to know who funds them.,1.8225776000000002,-1.7675898,0,0
806,Force think tanks to reveal all of their sources of funding,"Think tanks should be assessed by the value of their ideas, not by who funds them",1.9552323,-1.9293735,0,0
807,Force think tanks to reveal all of their sources of funding,Who funds a think tank is unimportant to the value of their ideas.,0.78304595,-0.8064595999999999,0,0
812,Fines should be made relative to income,It is unfair to penalize a higher income with a larger fine.,1.6553551,-1.5749581,0,0
813,Fines should be made relative to income,"Fines should be according to crime, not income.",0.76056874,-0.6539782,0,0
814,The UN should impose sanctions on countries that destroy their rainforests,Sanctions give rise to a whole new set of problems,0.479145,-0.48564875,0,0
815,The UN should impose sanctions on countries that destroy their rainforests,Sanctions only cause more problems.,2.7478599999999997,-2.9225907,0,0
816,The UN should impose sanctions on countries that destroy their rainforests,The implementation of sanctions cause unforeseen problems.,2.7451779999999997,-2.8697436,0,0
825,The United States is a ‘benign’ hegemon,"In reality, the United States is an empire, not a hegemon.",0.30421352,-0.24944997,0,0
831,The full financial history of all candidates for political office must be posted online,"The focus of elections should be on policy, not personal issues like financial records",2.5627103,-2.6044669999999996,0,0
832,The full financial history of all candidates for political office must be posted online,"Financial records are personal, not political, issues.",2.8769307,-2.9552126,0,0
833,The full financial history of all candidates for political office must be posted online,Political candidates should focus on policy and not be subjected to scrutinization of their financial records.,2.5571527,-2.6025093,0,0
835,The full financial history of all candidates for political office must be posted online,Forcing candidates to post their full financial history violates their privacy.,2.9371817000000005,-3.0622005,0,0
836,The full financial history of all candidates for political office must be posted online,Political candidates' rights would be violated if they were forced to post their financial records online.,2.944982,-3.1199856,0,0
847,The full financial history of all candidates for political office must be posted online,Fixating on candidates’ financial records fuels the fire of class war,2.8460536,-2.9415426,0,0
848,The full financial history of all candidates for political office must be posted online,Too much focus on candidates' finances only leads to class wars. ,1.9583718999999997,-1.9368706000000002,0,0
849,The full financial history of all candidates for political office must be posted online,Candidates posting their full financial history online would only intensify class wars.,2.7387152,-2.8218607999999996,0,0
858,Pre-nuptial agreements should not be recognised in divorce courts,Liberty to decide what you want is good and because pre-nuptial agreements can be considered rational decisions,0.053045012,-0.0777255,0,0
875,Violent Video Games Contribute to Youth Violence,Gun violence is less prevalent in countries with high video game use.,1.1285044,-0.9984027,0,0
876,Violent Video Games Contribute to Youth Violence,Countries with high video game use see less gun violence,0.59693205,-0.5612746999999999,0,0
877,Violent Video Games Contribute to Youth Violence,"Studies have shown that violent video games can have a positive effect on kindness, civic engagement, and ""prosocial” behaviors.",2.8525374,-2.9547152999999997,0,0
878,Violent Video Games Contribute to Youth Violence,Violent video games have been shown to have positive effect on kindness and cooperative behavior.,2.921039,-3.0584287999999997,0,0
879,Violent Video Games Contribute to Youth Violence,Violent video game players know the difference between virtual violence in the context of a game and appropriate behavior in the real world.,0.7175537,-0.5396424,0,0
880,Violent Video Games Contribute to Youth Violence,There are many flaws to the theory that violent video games cause real life violence.,2.2501627999999996,-2.2080245,0,0
881,Violent Video Games Contribute to Youth Violence,Studies claiming a causal link between video game violence and real life violence are flawed.,2.4911702,-2.471854,0,0
882,Violent Video Games Contribute to Youth Violence,Playing violent video games does not cause kids to commit mass shootings.,1.4788947000000001,-1.3928745,0,0
889,Violent Video Games Contribute to Youth Violence,Restrictions would be ineffective,2.7314768,-2.6823132000000003,0,0
890,Violent Video Games Contribute to Youth Violence,Restricting video games only makes people more interested in them. ,1.3936656,-1.2971712,0,0
891,Violent Video Games Contribute to Youth Violence,Restricting violent video games will have no correlation to a reduction in societal crime.,0.4701192,-0.43760878,0,0
898,Smoking should be banned in public places,"Smoking is a personal choice, and should not be restricted.",0.5751463000000001,-0.47751668,0,0
912,Smoking should be banned in public places,smoking don't necessarily have to be banned,0.21213093,-0.10368989999999999,0,0
913,Smoking should be banned in public places,It isn't necessary to ban smoking.,0.04003475,-0.060014505,0,0
915,Smoking should be banned in public places,Banning smoking is not something that's necessary.,0.8181388,-0.7366587,0,0
916,Smoking should be banned in public places,Banning smoking in public places is not right.,0.1868277,-0.15113582,0,0
917,Smoking should be banned in public places,It is not right to ban smoking.,0.43558199999999997,-0.42291293,0,0
918,Smoking should be banned in public places,Banning smoking is a bad idea.,1.1033877,-0.9179858,0,0
919,Smoking should be banned in public places,It's a bad idea to ban smoking.,2.070252,-2.0294685,0,0
923,Smoking should be banned in public places,A smoking ban in public places is harmful to the economy,2.3878694,-2.3758285,0,0
924,Smoking should be banned in public places,Economic hardship would follow a public place smoking ban,1.1921728999999999,-1.0534244,0,0
930,We should abolish speed cameras,Speed cameras encourage responsibility for our actions  ,1.8370433000000002,-1.7236506999999999,0,0
934,We should abolish speed cameras,Speed cameras were meant to encourage good driving.,1.2051957,-0.9388880999999999,0,0
946,We must bring back corporal punishment,Social problems can be solved without resorting to physical punishments.,2.803625,-2.957389,0,0
947,We must bring back corporal punishment,States' duty to avoid the use of force when solving social problems,2.2792573,-2.3432443,0,0
949,We must bring back corporal punishment,Corporal punishment isn't a good idea when solving social problems.,2.6475005,-2.7847218999999996,0,0
950,We must bring back corporal punishment,States’ duty to avoid the use of force when solving social problems,2.3814516,-2.427186,0,0
956,Scotland should cede from the union.,Scotland will be unable to survive economically without England,1.1109818,-1.0064535,0,0
958,Scotland should cede from the union.,Scotland would not be able to survive independently without England.,1.3379603999999998,-1.2067506000000001,0,0
963,Scotland should cede from the union.,The Scots themselves would vote against independence if there was a referendum.,1.3082988000000002,-1.1625003999999999,0,0
964,Scotland should cede from the union.,"If it should come to it, the Scottish people would not vote for independence.",1.2435503,-1.0687765,0,0
965,Scotland should cede from the union.,Scots would not be in favor of voting for independence. ,1.2271311000000003,-1.0940290000000001,0,0
985,Humans should eat meat,We should eat less meat.,0.47035370000000004,-0.23295978,0,0
993,Humans should eat meat,The farming of animals causes suffering. Causing suffering is wrong. The farming of animals is wrong,0.16304722,-0.0072075576,0,0
1007,Gorbachev Was Responsible for The Collapse Of The USSR,Perestroika put the final nails in the USSR’s economy,0.6276297,-0.54606247,0,0
1009,Gorbachev Was Responsible for The Collapse Of The USSR,It was dead from the time Stalin took control,0.0020076185000000002,-0.048444703,0,0
1012,Major league baseball should continue to allow collisions at home plate,collisions and violence should not be in baseball,0.31530884,-0.2863354,0,0
1018,Major league baseball should continue to allow collisions at home plate,Collisions are unnecessary.  ,1.3516215,-1.1648061,0,0
1019,Major league baseball should continue to allow collisions at home plate,collisions are not good,1.2105836,-1.1774683000000001,0,0
1025,Major league baseball should continue to allow collisions at home plate,Collisions are dangerous and lead to injury.  ,2.7185742999999998,-2.823701,0,0
1026,Major league baseball should continue to allow collisions at home plate,collisions are very dangerous,2.2924314,-2.3917964,0,0
1037,The internet’s anonymity is beneficial,"cyber-bullying  ubiquitously leads to child solicitation,murder,identity theft and all sorts of other crimes & misdemeanors",2.0639055,-2.0360372,0,0
1045,Individuals have a moral obligation to assist people in need,It's none of your business,2.7100732000000005,-2.7809281,0,0
1071,Jerusalem should be divided,Dividing Jerusalem would harm Israeli society: ,2.5123887000000003,-2.5411181000000003,0,0
1072,Jerusalem should be divided,Division would do more harm than good.,2.5340517000000005,-2.5469779999999997,0,0
1073,Jerusalem should be divided,Unfavorable societal outcomes from division mean that it is not worth it.,0.27372822,-0.27086094,0,0
1076,Golf is a Sport,"Golf involves many elements of competition, but that does not make it a sport.",0.5831211,-0.48485506,0,0
1077,Golf is a Sport,Sports experts agree that golf lacks the athletic rigor needed to be a real sport. ,0.6040171999999999,-0.5660418,0,0
1078,Golf is a Sport,Experts believe golf does not require enough physical fitness to be considered a sport.,0.15667872,-0.16990077,0,0
1079,Golf is a Sport,"If you can compete in a professional tournament with a broken leg, it is not a sport. ",1.0205564,-0.97021717,0,0
1080,Golf is a Sport,Golf does not have the physical rigors that sports do.,0.7321595000000001,-0.68044287,0,0
1087,Golf is a Sport,The fact that golf can be difficult and requires practice and skill to achieve proficiency does not mean it qualifies as a sport. ,0.73551357,-0.6651397,0,0
1088,Golf is a Sport,That golf can be difficult and skills and practice are required does not qualify it as a sport. ,1.4486039,-1.401753,0,0
