,undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
471,7.652405,-7.1418643,1.6676436999999997,1.6043,0,0,1,1,Encourage fewer people to go to university,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.","The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated."
485,-1.632313,1.9611536,0.26963059999999994,0.6945249,1,1,0,0,Encourage fewer people to go to university,"College graduates tend to have healthier, better educated offspring.","College graduates tend not to have healthier, better educated offspring."
486,-0.09604299999999999,1.4835445,0.7194741,1.4843422,1,1,0,0,Encourage fewer people to go to university,Children are typically healthier and more studious when their parents have graduated  college.,Children are not typically healthier and more studious when their parents have graduated  college.
487,-2.3994293,3.3783855000000003,0.2738527,0.5063069,1,1,0,0,Encourage fewer people to go to university,More and more jobs require college degrees.,Less and more jobs require college degrees.
489,-1.1423091,1.6188066,0.6004696999999999,1.1502769,1,1,0,0,Encourage fewer people to go to university,More jobs only hire those with college degrees.,Less jobs only hire those with college degrees.
492,5.6219254,-4.074202,1.3481933000000001,0.5262365999999999,0,0,1,1,Encourage fewer people to go to university,A bachelor's degree is considered standard now.,A bachelor's degree is not considered standard now.
518,4.4761076,-3.3594809999999997,1.2160954,0.6741129,0,0,1,1,Encourage fewer people to go to university,Learning a trade profession is a better option than college for many young adults.,Learning a trade profession is not a better option than college for many young adults.
519,6.5870137,-5.434663,1.4819722,0.48966450000000006,0,0,1,1,Encourage fewer people to go to university,Young adults should consider learning a trade instead of going to college.,Young adults should not consider learning a trade instead of going to college.
521,-0.13314661,0.89045334,0.68086016,0.7846123,1,1,0,0,Encourage fewer people to go to university,College graduates are healthier and live longer.,College graduates are not healthier and live longer.
538,5.67671,-3.785132,1.420772,0.53384817,0,0,1,1,Governments should ban the media from reporting hostage-taking,Secrecy in hostage-taking events could cool passions and prevent war.,Secrecy in hostage-taking events could not cool passions and prevent war.
540,3.8862697999999996,0.23120129,1.4903175,1.4556618000000001,0,0,1,1,We must enforce term limits on the legislative branch of government,"The longer a single leader remains in power, the more entrenched his grip becomes, and the more likely he is to use his office to his personal advantage.","The longer a single leader remains in power, the less entrenched his grip becomes, and the more likely he is to use his office to his personal advantage."
541,4.868368,-5.573615599999999,1.8866247999999999,0.053881407,0,0,1,1,We must enforce term limits on the legislative branch of government,Longer terms for Politicians could lead to unfairness in governing,Longer terms for Politicians could not lead to unfairness in governing
542,4.0877404,-0.060560282,1.4931686000000002,1.1146458000000001,0,0,1,1,We must enforce term limits on the legislative branch of government,"If a single leader sits on the throne for too long, it's more likely for the leader to exploit his or her power. ","If a single leader sits on the throne for too long, it's less likely for the leader to exploit his or her power."
543,3.686654,0.23909074,1.4646861999999998,1.3974799,0,0,1,1,We must enforce term limits on the legislative branch of government,"The longer a politician remains in office, the more entrenched his grip becomes, and the more likely he is to use his office to his personal advantage:","The longer a politician remains in office, the less entrenched his grip becomes, and the more likely he is to use his office to his personal advantage:"
544,3.2367605999999998,-2.6708732000000004,1.5769846,0.06308699,0,0,1,1,We must enforce term limits on the legislative branch of government,"If there's no term limit, the leader will likely exploit his power to personal advantages by staying too long in the office. ","If there's no term limit, the leader will not likely exploit his power to personal advantages by staying too long in the office."
550,-3.2616327000000003,6.3055224,0.015292466000000001,1.8845891,1,1,0,0,We must enforce term limits on the legislative branch of government,Term limits should be voted on ,Term limits should not be voted on
565,-3.088967,3.9747614999999996,0.21799588,0.24858868,1,1,0,0,We must enforce term limits on the legislative branch of government,"When some leaders are subject to term limits and some are not, the balance of power in uneven.","When some leaders are subject to term limits and some are , the balance of power in uneven."
568,-2.7248485000000002,6.1495194,0.008917034,1.6740451,1,1,0,0,We must enforce term limits on the legislative branch of government,"A strong, consistent executive may be desirable in many cases.","A strong, consistent executive may not be desirable in many cases."
569,-2.790418,4.6651654,0.016966343000000002,1.8562021,1,1,0,0,We must enforce term limits on the legislative branch of government,"There are some circumstances when one would want a strong, consistent executive branch of government in place.","There are not some circumstances when one would want a strong, consistent executive branch of government in place."
571,-2.131334,5.3159339999999995,0.08069944400000001,1.7171075,1,1,0,0,We must enforce term limits on the legislative branch of government,It may at some point be desirable to keep around a certain executive longer than terms decide,It may not at some point be desirable to keep around a certain executive longer than terms decide
572,-4.7262692,3.8365025999999998,0.005944848000000001,0.012693405,1,1,0,0,We must enforce term limits on the legislative branch of government,In some instances it may be better to not have term limits if there is a good leader at the time,In some instances it may be better to have term limits if there is a good leader at the time
573,-2.2695312000000003,5.126655,0.2785477,1.9376863999999998,1,1,0,0,We must enforce term limits on the legislative branch of government,Freeing the executive from re-election concerns can help focus attention on the public interest,Freeing the executive from re-election concerns can not help focus attention on the public interest
575,4.2520226999999995,-4.2299323,1.7687811999999998,0.012664973999999999,0,0,1,1,We must enforce term limits on the legislative branch of government,"By imposing a term limit in office, we can limit the power of executive branch of government.","By imposing a term limit in office, we can not limit the power of executive branch of government."
611,3.7283695,-3.9247822999999995,1.9065421000000002,0.22897649,0,0,1,1,People should have a right to private education,Abolishing a good service that is unaffordable is a disservice to humanity.,Abolishing a bad service that is unaffordable is a disservice to humanity.
612,5.7316437,-2.4517446,1.9265226999999998,1.9122298,0,0,1,1,People should have a right to private education,It's ridiculous to abolish a good service based on inability to afford.,It's ridiculous not to abolish a good service based on inability to afford.
613,5.447030000000001,-1.8399047999999998,1.8136776999999997,1.3296659,0,0,1,1,People should have a right to private education,better schools lead to better schools, worse schools lead to better schools
616,4.057082,-5.0022283,1.922135,0.004921317,0,0,1,1,People should have a right to private education,The goverment can't afford to take on more school children,The can afford to take on more school children
617,5.976141999999999,-3.075798,1.963789,1.7977072,0,0,1,1,People should have a right to private education,More school children would be a hardship on the government.,Less school children would be a hardship on the government.
622,8.095194000000001,-6.146383999999999,1.8493165,0.029435932999999997,0,0,1,1,Abolish the Superdelegate System for Democratic Party Conventions,All votes should be equal.,All votes should not be equal.
637,-2.7591113999999997,5.1400976,0.04230094,1.869071,1,1,0,0,permit the use of performance enhancing drugs in professional sports,Protecting young and vulnerable athletes, destroy young and vulnerable athletes
638,-2.23557,4.762628599999999,0.10963648599999999,1.9413481,1,1,0,0,permit the use of performance enhancing drugs in professional sports,we must sanction the use of performance enhancing drugs in pro sports to protect young and vulnerable athletes.,we must not sanction the use of performance enhancing drugs in pro sports to protect young and vulnerable athletes.
658,8.103567,-7.642016,1.6103957,1.2860798999999998,0,0,1,1,Handguns must be banned in Washington D.C.,Individuals who should not own weapons are not prevented from purchasing them despite the requirements and background investigations of concealed carry applications,Individuals who should own weapons are not prevented from purchasing them despite the requirements and background investigations of concealed carry applications
686,2.5831244,-3.3538258,1.3536061000000001,0.05488139400000001,0,0,1,1,It is worth voting,"When we vote, its not just for ourselves.","When we vote, its just for ourselves."
687,-4.412913,4.019228,0.26306343,1.4185894,1,1,0,0,Civil liberties should be sacrificed for the greater good,The threat of terrorism and security risks are overstated.,The threat of terrorism and security risks are not overstated.
691,-2.5850828,2.1861622000000005,0.45724046,1.7905978,1,1,0,0,Civil liberties should be sacrificed for the greater good,It would be letting the terrorists win,It would not be letting the terrorists win
693,-2.0326846,2.337081,0.2819001,0.97658396,1,1,0,0,Civil liberties should be sacrificed for the greater good,That is an open invitation for the terrorists.,That is not an open invitation for the terrorists.
694,6.1133766,-4.900796400000001,1.5098562,0.5082344,0,0,1,1,Civil liberties should be sacrificed for the greater good,National security is something that must be protected even at the cost of,National security is not something that must be protected even at the cost of
721,0.6258324000000001,-1.8632203,0.40511590000000003,0.106343806,0,0,1,1,The Internet must be censored,It is difficult to ascertain at a glance which websites are harmful.,It is not difficult to ascertain at a glance which websites are harmful.
749,-2.5454764,6.017893,0.01087755,1.8760271000000002,1,1,0,0,Force think tanks to reveal all of their sources of funding,Private investors have a right to privacy,Private investors don't have a right to privacy
750,-1.5510901000000001,4.746199,0.04197496,1.8644732,1,1,0,0,Force think tanks to reveal all of their sources of funding,Privacy is a right to private investors.,Privacy is not a right to private investors.
751,-1.9111407,4.9108953,0.030207752999999997,1.7662376,1,1,0,0,Force think tanks to reveal all of their sources of funding,The right to privacy includes private investors.,The right not to privacy includes private investors.
755,4.359691000000001,-3.362195,1.7309667000000002,0.053382754000000004,0,0,1,1,Force think tanks to reveal all of their sources of funding,Think tanks may become smoke screens for criminal groups,Think tanks may not become smoke screens for criminal groups
756,4.1811585,-4.122918,1.7636532,0.02757138,0,0,1,1,Force think tanks to reveal all of their sources of funding,Crime groups use think tanks to confuse people.,Crime groups use think tanks not to confuse people.
759,4.1035604,-0.08743613,1.5338645,1.380033,0,0,1,1,Fines should be made relative to income,Creates the perception that the rich are not immune to the consequences of their actions,Creates the perception that the rich are immune to the consequences of their actions
762,-3.4895213,5.4277835,0.014453708999999999,0.9501294,1,1,0,0,Fines should be made relative to income,A flat rate is more just,A flat rate is not more just
779,-5.155613400000001,5.148219,0.032185137,1.3703737,1,1,0,0,Eritrea is responsible for its isolation,Eritrea is surrounded by hostile nations ,Eritrea is not surrounded by hostile nations
781,6.810376,-3.3156394999999996,1.9578001,1.7985506000000002,0,0,1,1,Reheat tea in the microwave,"Reusing, reheating tea using the stove is environmentally unsound.","Reusing, reheating tea using the stove is not environmentally unsound."
784,-2.8984509999999997,5.1261215,0.013780593999999998,1.6295738000000002,1,1,0,0,The full financial history of all candidates for political office must be posted online,Political candidates should focus on policy and not be subjected to scrutinization of their financial records.,Political candidates should focus on policy and be subjected to scrutinization of their financial records.
785,-2.6059669999999997,4.682905,0.010395348,1.9006197,1,1,0,0,The full financial history of all candidates for political office must be posted online,"Individuals have a right to privacy, including to their own financial records","Individuals don't have a right to privacy, including to their own financial records"
808,7.004225999999999,-4.845436599999999,1.5385761999999998,0.31317740000000005,0,0,1,1,Downloading music without permission is morally equivalent to theft,A legal transaction is the only way to achieve free exchange of value,A legal transaction is not the only way to achieve free exchange of value
888,-3.259721,2.6124182,0.15050095,0.7993958000000001,1,1,0,0,Scotland should cede from the union.,The many hidden subsidies to SE England would end.,The many hidden subsidies not to SE England would end.
890,5.510075,-3.6181238,1.4994003,0.32038295,0,0,1,1,Scotland should cede from the union.,If Scotland were independent then it would have more power in important areas.,If Scotland were not independent then it would have more power in important areas.
893,-2.6710625,2.7188423,0.24152273,1.4103489,1,1,0,0,Scotland should cede from the union.,Scotland's economy cannot survive if it doesn't have England to lean on.,Scotland's economy can survive if it doesn't have England to lean on.
896,4.4068445999999994,-2.82216,1.5068002,0.84905696,0,0,1,1,Scotland should cede from the union.,Other small nation-states like Norway and the Republic of Ireland are successful,Other small nation-states like Norway and the Republic of Ireland are not successful
897,4.8512783,-3.4161701,1.4990151000000003,0.5656831,0,0,1,1,Scotland should cede from the union.,Norway and the Republic of Ireland are examples of successful nation-states.,Norway and the Republic of Ireland are not examples of successful nation-states.
898,6.189571400000001,-4.1006527,1.5669494,0.24316049,0,0,1,1,Scotland should cede from the union.,You can look at Norway and the Republic of Ireland to see successful nation-states.,You can not look at Norway and the Republic of Ireland to see successful nation-states.
902,6.7361884000000005,-4.6360407,1.680077,1.2720169,0,0,1,1,Scotland should cede from the union.,Scotland has different interests to rUK,Scotland doesn't have different interests to rUK
903,0.24185807,0.9329535,1.0594056,1.4195162000000001,1,1,0,0,US must get rid of the double jeopardy rule,Double jeopardy ensures defendants are not brought to trial on weak grounds,Double jeopardy ensures defendants are brought to trial on weak grounds
932,4.960510299999999,-4.344131,1.8508683000000001,0.108769,0,0,1,1,Humans should eat meat,"Animals are below humans, therefore humans can eat them","Animals are not below humans, therefore humans can eat them"
936,1.2910143,-1.5656598999999998,1.342637,0.06585568,0,0,1,1,The environment is being sacrificed for the economy,Air pollution will get even worse. ,Air pollution will not get even worse.
941,-3.1136202999999996,3.3379693,0.1667791,1.1575391000000002,1,1,0,0,Gorbachev Was Responsible for The Collapse Of The USSR,The System Needed to Change in Order to Survive in the Longer Term; That Mikhail Gorbachev’s Reforms Failed Showed that the USSR Could Not be Saved,The System Needed to Change in Order to Survive in the Longer Term; That Mikhail Gorbachev’s Reforms Failed Showed that the USSR Could be Saved
948,4.6897283,-4.878882,1.8715072,0.0021802187,0,0,1,1,Major league baseball should continue to allow collisions at home plate,The safety concerns about collision are overblown,The safety concerns about collision are not overblown
949,4.618218,-4.609042,1.8349667,0.0034524798,0,0,1,1,Major league baseball should continue to allow collisions at home plate,There is an overreaction to the dangers of collisions,There is not an overreaction to the dangers of collisions
969,-3.217542,6.311659,0.01636064,1.9330256000000001,1,1,0,0,Individuals have a moral obligation to assist people in need,Only help those who ask for it and that too at your discretion,Only spoil those who ask for it and that too at your discretion
970,-3.0212595,6.1802163,0.0028487444,1.8444817,1,1,0,0,Individuals have a moral obligation to assist people in need,Should we as people help everyone or only certain ones., should not we as people help everyone or only certain ones.
971,-3.069114,6.341719599999999,0.0005489587999999999,1.8370224999999998,1,1,0,0,Individuals have a moral obligation to assist people in need,Individuals should help everyone.,Individuals should not help everyone.
972,-2.2753127,2.5811427000000005,0.034882247000000005,0.6595044,1,1,0,0,Individuals have a moral obligation to assist people in need,"People have the freedom to choose whether they want to dedicate their time to helping others, and help should only be given to those who ask for it.","People don't have the freedom to choose whether they want to dedicate their time to helping others, and help should only be given to those who ask for it."
974,-3.3806917999999997,3.6456952000000005,0.027847826000000003,0.3427574,1,1,0,0,Individuals have a moral obligation to assist people in need,It would be nice if everyone would help those in need but it cant't be forced and people have to make those decisions on their own. ,It would not be nice if everyone would help those in need but it cant't be forced and people have to make those decisions on their own.
1023,-3.9355297,2.8068013,0.049341083,0.089576066,1,1,0,0,Golf is a Sport,Even if you are really athletic does not mean you will do well at golf.,Even if you are really athletic does mean you will do well at golf.
1026,-2.358857,5.310666599999999,0.05251062,1.9467101000000002,1,1,0,0,Golf is a Sport,The definition of a game is a better match to golf than the definition of a sport. ,The definition of a game is not a better match to golf than the definition of a sport.
1027,-2.0532207,5.328561,0.03726715,1.9448782999999998,1,1,0,0,Golf is a Sport,Golf is the match to a game more than a match to a sport. ,Golf is not the match to a game more than a match to a sport.
1030,3.5657343999999997,-3.160327,1.6424186,0.86435914,0,0,1,1,Golf is a Sport,Golf has many more commonalities with other sports. ,Golf doesn't have many more commonalities with other sports.
1031,5.6485567,-4.635461299999999,1.9302408,0.28139848,0,0,1,1,Golf is a Sport,There are many commonalities between golf and other sports. ,There are not many commonalities between golf and other sports.
1032,5.735521,-2.8020967999999997,1.9359587,1.7934474999999999,0,0,1,1,Golf is a Sport,Contrary to public opinion golf does have a lot more commonalities with other sports than most realize. ,Contrary not to public opinion golf does have a lot more commonalities with other sports than most realize.
1036,6.220410299999999,-4.5502043,1.9407922999999998,1.9332643,0,0,1,1,Roger Federer Is Not the Greatest Tennis Player of All Time,Rod Laver is without doubt the greatest ever!,Rod Laver is not without doubt the greatest ever!
1042,5.2310685999999995,-3.4514803999999994,1.8556654,1.8331921999999998,0,0,1,1,Roger Federer Is Not the Greatest Tennis Player of All Time,He has a losing record against Rafael Nadal. How can you be the best of all time if you're not even the best of your own era?,He has a losing record against Rafael Nadal. How can you be the best of all time if you're even the best of your own era?
1050,-3.7799602,3.0284264,0.02845025,0.19275808,1,1,0,0,Roger Federer Is Not the Greatest Tennis Player of All Time,Federer has a record that will be hard to beat.,Federer doesn't have a record that will be hard to beat.
1057,5.0272055,-4.6659994000000005,1.9276366000000003,0.03099513,0,0,1,1, Aboriginal culture must be protected,In the past we have oppressed native peoples and we must learn from that so we do not do it again.,In the past we have oppressed native peoples and we must learn from that so we do do it again.
1059,4.362725,-1.3513576,1.6319208,1.5599934,0,0,1,1, Aboriginal culture must be protected,"Existing states are responsible for the destruction of indigenous populations and their societies, and thereby have an obligation to help reverse the effects of their actions","Existing states are not responsible for the destruction of indigenous populations and their societies, and thereby have an obligation to help reverse the effects of their actions"
1097,-6.344106,5.865187000000001,0.018114566999999998,1.785338,1,1,0,0,Money undermines sport’s values,College sports should be for competition not money.,College sports should be for competition money.
1107,4.603187999999999,-3.1089678,1.7551501,1.0691891000000002,0,0,1,1,Compensation should be paid for those who have had their culture appropriated,it is immportant for the communities to get the credit they deserve through compensation,it is not immportant for the communities to get the credit they deserve through compensation
1116,-2.8367009999999997,5.655396499999999,0.0046875477,1.9877083999999998,1,1,0,0,Store nuclear waste underground,Nuclear waste can be put to beneficial uses,Nuclear waste can not be put to beneficial uses
1117,-2.6708312000000003,5.4279345999999995,0.027111947999999997,1.9798028000000003,1,1,0,0,Store nuclear waste underground,Nuclear waste can be used in other forms of power generation,Nuclear waste can not be used in other forms of power generation
1200,-0.6501785,0.37065428,1.0296966,1.4785366000000002,1,1,0,0,Evolution has Disproved Creationism,Evolution has taken away the stories that create morals and meaning to many people.,Evolution doesn't have taken away the stories that create morals and meaning to many people.
1203,3.2454607,-4.3261330000000005,1.5325196,0.4539681,0,0,1,1,Evolution has Disproved Creationism,Creationism can't explain the fossil record., can explain the fossil record.
1204,0.48415303,1.8574747999999999,0.258506,1.028404,1,1,0,0,Evolution has Disproved Creationism,"Much of the complexity of life cannot be explained by evolution, but is perfectly explained by Creationism.","Much of the complexity of life can be explained by evolution, but is perfectly explained by Creationism."
1208,2.6737876,-3.6722175999999997,1.4306078000000002,0.52109146,0,0,1,1,Evolution has Disproved Creationism,Creationism isn't supported by the scientific community.,Creationism is supported by the scientific community.
1241,2.5551473999999996,-1.4239206,1.4594958999999998,1.0625613,0,0,1,1,Anarchism is a valuable political ideology,The state has far too often been an instrument for facilitating wars and other acts of violence.,The state doesn't have far too often been an instrument for facilitating wars and other acts of violence.
1257,0.9157144,2.3818092,1.0145851000000001,1.6445560000000001,1,1,0,0,Voting should be compulsory in the UK,"Once elected, politicians do what they want, so why vote?","Once elected, politicians do what they want, does not mean why vote?"
1261,-3.963108,5.7711167,0.0032593012,1.8035808999999998,1,1,0,0,Voting should be compulsory in the UK,Weekend voting would be a more sensible solution,Weekend voting would not be a more sensible solution
1262,-2.6966452999999997,6.499623000000001,0.04303378,1.8673141,1,1,0,0,Voting should be compulsory in the UK,Convincing is more effective than forcing.,Convincing is not more effective than forcing.
1264,-0.22142176,3.1172552000000002,0.4338327,1.7781346000000002,1,1,0,0,Voting should be compulsory in the UK,Policing and financing the system is unmanageable,Policing and financing the system is not unmanageable
1266,-4.690569,3.3146709999999997,0.0029041767,0.005995035,1,1,0,0,Voting should be compulsory in the UK,It is unreasonable to expect that compulsory voting could be financed and verified.,It is not unreasonable to expect that compulsory voting could be financed and verified.
