,undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
324,-1.4739954,1.8106514,0.15942651,0.04435402,1,0,0,0,Animal testing should be banned.,Animals often make better research subjects than human beings because of their shorter life cycles.,Animals often make worse research subjects than human beings because of their shorter life cycles.
350,5.221180400000001,-1.5058148999999998,1.7385976000000003,1.8177156000000003,0,1,1,1,Instant Replay Should Be Used in Major League Baseball,Umpires will benfit greatly from instant replay in the MLB physically.,Umpires will not benfit greatly from instant replay in the MLB physically.
357,-3.6569562000000007,2.9078822,0.15835506,0.034151673,1,0,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay will make long MLB games even longer.,Instant replay will not make long MLB games even longer.
375,-1.9142758999999998,0.47974062,0.34679633,0.012818158,1,0,0,0,It is fine to kill one to save many,We cannot support a world where killing is acceptable as long as it saves lives.,We can support a world where killing is acceptable as long as it saves lives.
378,-3.8172956,3.1398852,0.11435968,0.103140295,1,0,0,0,It is fine to kill one to save many,The possibility for the universal recogonition that killing is wrong can be deduced by pure intuition.,The possibility for the universal recogonition that killing is not wrong can be deduced by pure intuition.
390,-2.8115864,2.2616652999999998,0.38258606,0.0050038695,1,0,0,0,Africa is really rising,The Continent is still vulnerable to natural disasters,The Continent is not still vulnerable to natural disasters
426,0.7755059,-0.47333702,1.1539096000000002,1.9776436999999998,0,1,1,1,PHILOSOPHY – Utilitarianism isn’t as fair as it initially seems,INDIVIDUAL HEDONISM NOT ALWAYS POSITIVE FOR SOCIETY/INDIVIDUALS THEMSELVES.,INDIVIDUAL HEDONISM ALWAYS POSITIVE FOR SOCIETY/INDIVIDUALS THEMSELVES.
463,3.3650122000000002,-0.10448944,1.5140107,1.7649407,0,1,1,1,Privacy Online is Important,Users online would be unprotected from exploitation if it weren't for online privacy.,Users online would be unprotected from exploitation if it were for online privacy.
470,4.5418205,-4.1877627,1.1958369,1.2861861,0,1,1,1,Encourage fewer people to go to university,"Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. ","Some argue that a college education may be necessary, since there are many people who have succeeded despite not having college degrees."
483,4.4621825,-3.7638032,1.3349586000000002,1.8638407,0,1,1,1,Encourage fewer people to go to university,There are more students that are having their views and values shifted during college than in the past.,There are not more students that are having their views and values shifted during college than in the past.
501,-3.5848758000000003,3.9416050000000005,0.09021592,0.042423964,1,0,0,0,Encourage fewer people to go to university,College graduates make more money.,College graduates make less money.
516,-0.032758567,-0.04254168,0.45487040000000006,0.8717568000000001,0,1,1,1,Encourage fewer people to go to university,A college degree is no guarantee of workplace benefits.,A college degree is not no guarantee of workplace benefits.
517,2.3062146,-2.5610876,0.814561,1.7194922,0,1,1,1,Encourage fewer people to go to university,There is no guarantee there will be benefits.,There is not no guarantee there will be benefits.
545,4.7536830000000005,-0.37554818,1.5965103,1.6660194,0,1,1,1,We must enforce term limits on the legislative branch of government,"the longer someone is  in power, the more likely he will use it for personal advantage","the longer someone is not  in power, the more likely he will use it for personal advantage"
546,4.8762274,-0.5058946,1.6219128,1.6500959,0,1,1,1,We must enforce term limits on the legislative branch of government,"as times went one, the more someone is in control of his power, the more likely he will succumb to use such power for personal advantage","as times went one, the less someone is in control of his power, the more likely he will succumb to use such power for personal advantage"
577,3.5301913999999996,-0.3106634,1.461463,1.6106796,0,1,1,1,We must enforce term limits on the legislative branch of government,there should be a tenancy for the executive branch of government as to keep in check the power of its leaders,there should not be a tenancy for the executive branch of government as to keep in check the power of its leaders
587,1.0247239,-0.85848016,1.0499613,1.7415929,0,1,1,1,Government must be Big and Beefy,"Government was required to drive through major changes such as drives for equality within society, universal education, and preservation of the environment. Mostly in the teeth of big business ","Government was not required to drive through major changes such as drives for equality within society, universal education, and preservation of the environment. Mostly in the teeth of big business"
588,4.63737,-0.38347447,1.6106998,1.9191499,0,1,1,1,Terrorism can be justified,Terrorism can bring attention,Terrorism can not bring attention
590,4.0849150000000005,0.64032835,1.4783746000000002,1.8865005000000001,0,1,1,1,Terrorism can be justified,Terrorism can lead to discussion,Terrorism can not lead to discussion
610,4.8422313,-2.7465854,1.5187819,1.7098153000000003,0,1,1,1,People should have a right to private education,Abolishing a good service on the basis that some cannot afford it is absurd,Abolishing a good service on the basis that some can afford it is absurd
659,2.5905514,-2.2164254,0.8148517,1.2239037,0,1,1,1,Handguns must be banned in Washington D.C.,The conditions for concealed carry permits and background checks do not inhibit criminals from obtaining weapons,The conditions for concealed carry permits and background checks do inhibit criminals from obtaining weapons
660,1.0151303,-1.0295099,0.48645538,0.5699139,0,1,1,1,Handguns must be banned in Washington D.C.,"Public safety should be left to professionally qualified police officers, not private citizens with little or no expert training.","Public safety should be left to professionally qualified police officers, private citizens with little or no expert training."
662,0.52535707,-0.023556259,0.46088892,0.8806485000000001,0,1,1,1,Handguns must be banned in Washington D.C.,"Only police officers, who have received professional qualifications, should protect the safety of the public, not private individuals who have not received such training","Only police officers, who have received professional qualifications, should protect the safety of the public, private individuals who have not received such training"
673,-4.272798000000001,3.8438876000000004,0.017034352,0.012940705,1,0,0,0,Rupert Murdoch is not a fit person to run an international media corporation,"Murdoch is effective at selling news to the masses, sadly because of his lack of morals.","Murdoch is not effective at selling news to the masses, sadly because of his lack of morals."
685,2.7935455,0.8737638000000001,0.78205734,1.8727033,0,1,1,1,It is worth voting,We vote not just for ourselves.,We vote just for ourselves.
698,7.0497975,-2.4948995,1.9408553,1.9731945,0,1,1,1,Fighting should be allowed in hockey.,Fighting is a hockey tradition that exists in the official rules and as an unwritten code among players.,Fighting is not a hockey tradition that exists in the official rules and as an unwritten code among players.
708,2.2301972,-0.38425934,1.1991233000000001,1.22504,0,1,1,1,Boys should go to boys only schools,some boys and girls should be educated seperately,some boys and girls should not be educated seperately
733,1.7317042,-1.5663446,0.72199684,1.7070691999999998,0,1,1,1,Christianity is the greatest deception of today,"Christianity may be a deception but it's not the ""greatest"" one","Christianity may be a deception but it's the ""greatest"" one"
736,-0.21752802,0.10913423400000001,0.22617996,0.0074062943000000004,1,0,0,0,Christianity is the greatest deception of today,"It isn't christianity that's the deception, organised religion is!","It is christianity that's the deception, organised religion is!"
774,0.15845159,0.6964738,0.573116,0.42503947,1,0,0,0,The United States is a ‘benign’ hegemon,"The US is not a hegemon at all, but an imperialist power-an empire. ","The US is a hegemon at all, but an imperialist power-an empire."
777,-0.8820023000000001,1.3120317,0.43181579999999997,0.05015695,1,0,0,0,The United States is a ‘benign’ hegemon,The US is less of a hegemon and more of an imperial empire,The US is not less of a hegemon and more of an imperial empire
782,-0.6356347,0.26931173,0.47375947,0.3110875,1,0,0,0,The full financial history of all candidates for political office must be posted online,"The focus of elections should be on policy, not personal issues like financial records","The focus of elections should be on policy, personal issues like financial records"
788,4.132701399999999,-0.76593524,1.6078117,1.8983862,0,1,1,1,The full financial history of all candidates for political office must be posted online,Financial dealings can indicate candidates’ willingness to circumvent the system/play by the rules,Financial dealings can not indicate candidates’ willingness to circumvent the system/play by the rules
872,2.41277,-0.49833554,1.3292886,1.7173879,0,1,1,1,We should abolish speed cameras,Driving behaviour has not changed since cameras were introduced,Driving behaviour has changed since cameras were introduced
889,3.051301,-2.031284,1.4892243,1.6074647,0,1,1,1,Scotland should cede from the union.,Independence would give Scotland clout where it matters,Independence would not give Scotland clout where it matters
891,3.000514,-1.9434034,1.501903,1.6468561000000002,0,1,1,1,Scotland should cede from the union.,An independent Scotland nation-state would give it more influence.,An independent Scotland nation-state would not give it more influence.
906,2.2552117999999997,-1.1983786,1.4257777,1.492724,0,1,1,1,US must get rid of the double jeopardy rule,Abolishment of double jeopardy would ensure the guilty do not escape punishment,Abolishment of double jeopardy would ensure the guilty do escape punishment
910,1.2508605,0.69304264,1.1383687,1.4949895,0,1,1,1,We must ban negative advertising in political campaigns,Negative campaigns helps reduce diversity, positive campaigns helps reduce diversity
953,6.195485,-1.7093314,1.8295115000000002,1.8613776999999998,0,1,1,1,Major league baseball should continue to allow collisions at home plate,Collisions happen in baseball and should be left as is.,Collisions happen in baseball and should not be left as is.
959,3.9083080000000003,-0.010307307,1.5708385,1.6989118000000003,0,1,1,1,Major league baseball should continue to allow collisions at home plate,The catcher or runner would have a ridiculous advantage if collisions were not allowed.,The catcher or runner would have a ridiculous advantage if collisions were allowed.
973,-3.4668732,2.145784,0.020943046,0.01739788,1,0,0,0,Individuals have a moral obligation to assist people in need,"Help should only be provided to those that want it, and individuals should be able to choose if they want to help or not.","Help should only be provided to those that want it, and individuals should be able to choose if they want to help or ."
988,3.8507202000000005,-0.38918817,1.6894306000000001,1.9391691999999998,0,1,1,1,History as a subject in school is needed,"Without a firm foundation of historical knowledge, children will have a harder time learning necessary skills. "," with a firm foundation of historical knowledge, children will have a harder time learning necessary skills."
1046,3.2835414,-1.7185403000000001,1.5497382,1.7870705000000002,0,1,1,1,Roger Federer Is Not the Greatest Tennis Player of All Time,Lack of serious competition, glut of serious competition
1051,-1.6053447,1.6181958,0.16236764,0.013031065,1,0,0,0,Roger Federer Is Not the Greatest Tennis Player of All Time,Federer has won many games which is very hard for peopple to do.,Federer doesn't have won many games which is very hard for peopple to do.
1113,2.7959788,-1.3457572,1.3689358,1.3889949,0,1,1,1,Mixed Martial Arts (UFC) is a form of human cockfighting,"Depending where you are in the world, some of the rules do appear brutal","Depending where you are not in the world, some of the rules do appear brutal"
1114,1.7722833999999998,0.7017379,0.434978,1.3042299,0,1,1,1,Mixed Martial Arts (UFC) is a form of human cockfighting,MMA is Human Cock Fighting,MMA is not Human Cock Fighting
1205,-1.1006982,0.11301524,0.732808,0.42954123,1,0,0,0,Evolution has Disproved Creationism,Creationism has theoretical answers to questions evolution can't answer.,Creationism has theoretical answers to questions can answer.
1242,1.8714732,0.4492805,1.1952863,1.6184473,0,1,1,1,Anarchism is a valuable political ideology,Community action is a more powerful tool than the state for providing goods.,Community action is not a more powerful tool than the state for providing goods.
1253,-3.835525,2.5994002999999997,0.10493803,0.04967624,1,0,0,0,Voting should be compulsory in the UK,Democracy is based on the freedom to vote or not.,Democracy is based on the freedom to vote or .
1312,-3.3252172,3.2525277000000004,0.17469102,0.10711019999999999,1,0,0,0,Children should not be allowed to inherit vast wealth as this damages them and society,Children who inherit riches are in a sense demotivated and as a result damaging towards society.,Children who inherit riches are not in a sense demotivated and as a result damaging towards society.
1314,0.8148325,0.58840376,1.0552924,1.6127312,0,1,1,1,Children should not be allowed to inherit vast wealth as this damages them and society,Having too much money prevents you from growing spiritually.,Having too little money prevents you from growing spiritually.
1365,2.7345188,1.2333595,1.3104673999999998,1.3659661,0,1,1,1,Send Yanukovych to The Hague,Yanukovych committed crimes against humanity,Yanukovych committed crimes for humanity
1368,1.8441609,1.4060188999999998,1.1883986,1.6709494999999999,0,1,1,1,Send Yanukovych to The Hague,Yanukovych crimes are against humanity.,Yanukovych crimes are not against humanity.
1407,0.20742433,-0.09043043,0.47864944,0.7833876999999999,0,1,1,1,Deny Organs to Non-Donors,What if a doctor decides to 'let you go' to get an organ?,What if a doctor decides not to 'let you go' to get an organ?
1436,2.4687853,0.6447183000000001,1.3386579,1.8475578000000001,0,1,1,1,Labels on food must be mandated to encourage people to eat better,"When companies label their foods, consumers have an easier time finding foods that help them meet their goals.","When companies label their foods, consumers don't have an easier time finding foods that help them meet their goals."
1458,2.3809435000000003,0.83515835,1.1915066,1.4016676000000001,0,1,1,1,Macs are better than PCs,Macs are more performance than pc's,Macs are not more performance than pc's
1476,3.5405822,-4.5661592,1.5011861,1.5499207,0,1,1,1,Remove the requirement for Catholic Priests to take a vow of celibacy,There is no longer any reason to maintain celibacy of priests.,There is not no longer any reason to maintain celibacy of priests.
1477,1.1307441999999999,-1.2839991000000002,1.1608357,1.7136234000000001,0,1,1,1,Remove the requirement for Catholic Priests to take a vow of celibacy,"Clerical rape of children is, in part, due to the celibacy of priests and must change","Clerical rape of children is not , in part, due to the celibacy of priests and must change"
1478,6.1080775,-6.848669999999999,1.4557171,1.473905,0,1,1,1,Remove the requirement for Catholic Priests to take a vow of celibacy,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.","If priests were forced to be celibate, the issue of child rate would not be as widespread."
1479,2.3841162000000002,-2.7977833999999997,1.3177793,1.5401788,0,1,1,1,Remove the requirement for Catholic Priests to take a vow of celibacy,One of the reasons clerical child rape has happened is due to priests being forced to remain celibate.,One of the reasons clerical child rape doesn't have happened is due to priests being forced to remain celibate.
1519,-3.9160516000000003,3.4034949999999995,0.025328577,0.007373154,1,0,0,0,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government",4. Gov is better suited than charities.,4. Gov is not better suited than charities.
1521,-0.6395973,1.4627066999999998,0.53582335,0.11852503,1,0,0,0,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government",The government can handle things better than charities,The government can not handle things better than charities
1529,2.5191462000000002,-1.019924,1.4966198999999998,1.9487787,0,1,1,1,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government","What the governmental machine can’t, society through charities can","What the governmental machine ca , society through charities can"
1530,3.150692,-0.62327474,1.3710177,1.5564746,0,1,1,1,The ICC is not an effective deterrent,"As the ICC intentionally limits its prosecutions to group leaders, many of those who actually commit atrocities need have no fear of prosecution","As the ICC intentionally limits its prosecutions not to group leaders, many of those who actually commit atrocities need have no fear of prosecution"
1580,6.696817,-2.738644,1.8769206000000003,1.9075671000000003,0,1,1,1,"Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt","Small churches, already struggling to survive, would be further endangered by a new tax burden. ","Small churches, already struggling not to survive, would be further endangered by a new tax burden."
1581,6.3041596,-2.2071172999999997,1.8247997999999999,1.8912968999999997,0,1,1,1,"Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt",Small churches who are struggling would be put at risk by the tax burden.,Small churches who are not struggling would be put at risk by the tax burden.
1594,4.912086,-1.2574579,1.8161262999999999,1.9156107,0,1,1,1,The penny should stay in circulation,A penny can be used for decades and is more cost-efficient to produce than a nickel,A penny can not be used for decades and is more cost-efficient to produce than a nickel
1610,1.7802223000000001,-1.3849088,0.8475259,1.579919,0,1,1,1,Workers in the Transport Sectors Should Be Banned From Going On Strike,Workers rights can still be protected,Workers rights can not still be protected
1619,1.4904118999999998,0.4405719,0.875073,0.89153695,0,1,1,1,Workers in the Transport Sectors Should Be Banned From Going On Strike,Unions abuse the right to strike to extort from their employers.,Unions abuse the right not to strike to extort from their employers.
1649,-4.038157,3.0952167999999998,0.05487287,0.030885397999999998,1,0,0,0,The use of atomic bombs against Hiroshima and Nagasaki was justified,"Not only was the bombing illegal, it was morally wrong!"," only was the bombing illegal, it was morally wrong!"
1703,-4.4512243,3.0902580000000004,0.028496027,0.009631932,1,0,0,0,Take a visit the Yasukuni Shrine,"War criminals should not be honored, even after they're dead.","War criminals should be honored, even after they're dead."
1730,3.5758953,-4.1707754,1.0109454,1.5976290000000002,0,1,1,1,Religious symbols in public buildings must be banned,"When you have religious symbols in schools, there will be problems.","When you don't have religious symbols in schools, there will be problems."
1850,-4.0079274,2.4682236,0.017176867,0.0008491277699999998,1,0,0,0,Polls are accurate predictors of election results,"Voting is an exercise of freedom, not predetermination.","Voting is an exercise of freedom, predetermination."
1865,2.134912,-0.13350475,1.2312405,1.6001733999999999,0,1,1,1,France is right to intervene in Mali,Because the turmoil besieged the state other parties took it upon themselves to lend a helping hand.,Because the turmoil besieged the state other parties took it upon themselves not to lend a helping hand.
1881,4.467146400000001,-0.43806540000000005,1.6576304,1.7795081000000001,0,1,1,1,Hillary Clinton would make a better president for America,Hillary Clinton would have stood up to the banking industry whereas Barack Obama has not.,Hillary Clinton would have stood up to the banking industry whereas Barack Obama has .
1905,-0.73344356,0.7200156,0.15519834,0.019049764,1,0,0,0,Online gambling has to be banned,Government officials only oppose online gambling because it is not taxed.,Government officials only oppose online gambling because it is taxed.
1913,1.9320031000000002,-0.7076331,1.1696203,1.6074369,0,1,1,1,Atheist countries are more benevolent,"Norway is 70%  atheist, but is still the world's best place to live.","Norway is not 70%  atheist, but is still the world's best place to live."
1918,1.8397918000000002,-0.87049395,1.3297222,1.6674898,0,1,1,1,A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction,Killing of sharks will be decreased if the demand for shark fins is reduced.,Killing of sharks will not be decreased if the demand for shark fins is reduced.
1941,5.6266775,-4.5980906,1.8422589,1.8880703,0,1,1,1,"Use of goal line technology in football is overdue, and can only lead to benefits.",The benefits far outweigh the costs of not using the technology,The benefits far outweigh the costs of using the technology
1949,2.677857,-0.5533916,1.4313331,1.64463,0,1,1,1,The ICC should have its own enforcement arm,The number of defendants and ICC Enforcement are related.,The number of defendants and ICC Enforcement are not related.
2092,-3.1355944,3.2033186000000002,0.063856125,0.007654071,1,0,0,0,The Illegality Of Recreational Drugs Does More Harm Than Good,"The government must not endorse the use of drugs, which are dangerous.","The government must endorse the use of drugs, which are dangerous."
2105,-1.3192506000000002,1.4706620000000001,0.40202832,0.37639737,1,0,0,0,We should drop the sanctions against Cuba.,Cuba deserves sanctions,Cuba deserve no sanctions
2108,2.504836,-2.7699807,1.3211258999999997,1.7344341,0,1,1,1,We should drop the sanctions against Cuba.,"The people of Cuba are the victims of the embargo, opposed the intended target of the government.","The people of Cuba are not the victims of the embargo, opposed the intended target of the government."
2109,1.1135256000000002,0.13366967,1.0554017,1.721862,0,1,1,1,We should drop the sanctions against Cuba.,Cuban citizens are paying the price for their government's actions.,Cuban citizens are not paying the price for their government's actions.
2114,4.756039,-3.8434574999999995,1.4986101,1.5472424,0,1,1,1,We should drop the sanctions against Cuba.,If sanctions were lifted trade benefits would flow to all parties to trade.,If sanctions were not lifted trade benefits would flow to all parties to trade.
2116,3.2196894,-2.8366275,1.3700874,1.6173072,0,1,1,1,We should drop the sanctions against Cuba.,The Cuban government is unaffected by the sanctions.,The Cuban government is not unaffected by the sanctions.
2118,1.4909042,0.38413376,1.0794603999999999,1.4687068,0,1,1,1,We should drop the sanctions against Cuba.,The United States should end the Cuba embargo because its 50-year policy has failed to achieve its goals. ,The United States should not end the Cuba embargo because its 50-year policy has failed to achieve its goals.
2119,3.2756217,-1.7740666,1.3126266000000002,1.3756776000000002,0,1,1,1,We should drop the sanctions against Cuba.,After 50 years the Cuba embargo has shown no results so the US should end it.,After 50 years the Cuba embargo doesn't have shown no results so the US should end it.
2123,5.484058999999999,-5.0061774,1.6550064999999998,1.8522714,0,1,1,1,We should drop the sanctions against Cuba.,"The embargo prevents the people of Cuba from joining the digital age by cutting them off from technology, and restricts the electronic flow of information to the island. ","The embargo prevents the people of Cuba from joining the digital age by cutting them off from technology, and restricts the electronic flow of information not to the island."
2126,-1.8905207999999998,2.0983862999999996,0.33801925,0.27240998,1,0,0,0,We should drop the sanctions against Cuba.,Ending the embargo before the Cuban government meets the conditions specified by US law would make the United States look weak. ,Ending the embargo before the Cuban government meets the conditions specified by US law would not make the United States look weak.
2130,-1.8422738,2.380785,0.30081934,0.17151229999999998,1,0,0,0,We should drop the sanctions against Cuba.,Cuba is knows to sponsor terrorism so sanctions are appropriate.,Cuba is not knows to sponsor terrorism so sanctions are appropriate.
2136,2.9539902000000002,-3.5950830000000003,1.4117274,1.8063421999999998,0,1,1,1,We should drop the sanctions against Cuba.,Lifting the embargo would put pressure on Cuba to address problems that it had previously blamed on US sanctions. ,Lifting the embargo would not put pressure on Cuba to address problems that it had previously blamed on US sanctions.
2142,2.6769326,-1.4513688999999999,1.2600930000000001,1.601807,0,1,1,1,We should drop the sanctions against Cuba.,Free trade in lieu of embargo can promote Cuban democracy.,Free trade in lieu of embargo can not promote Cuban democracy.
2143,3.7086476999999998,-3.3351657,1.4723883,1.8971113999999998,0,1,1,1,We should drop the sanctions against Cuba.,"Instead of embargo, free trade will promote democracy in Cuba.","Instead of embargo, free trade will not promote democracy in Cuba."
2144,-2.319253,2.7032222999999997,0.2847131,0.19407648,1,0,0,0,We should drop the sanctions against Cuba.,The uncertainty over who will succeed Raúl Castro makes it unwise for the United States to change its policy before a new leader is in place. ,The uncertainty over who will not succeed Raúl Castro makes it unwise for the United States to change its policy before a new leader is in place.
2146,-0.94829994,1.3935608,0.39015067,0.030353308,1,0,0,0,We should drop the sanctions against Cuba.,"Until the US knows who will replace Raul Castro, it does not make sense to put new policies in place.","Until the US knows who will replace Raul Castro, it does make sense to put new policies in place."
2148,-0.7036345,2.4728383999999997,0.32074326,0.25969076,1,0,0,0,We should drop the sanctions against Cuba.,Cuba seems unwilling to negotiate with the US.,Cuba seems unwilling not to negotiate with the US.
2149,0.034179304,1.7310895,0.42242634,0.37726509999999996,1,0,0,0,We should drop the sanctions against Cuba.,Cuba seems reluctant to genuinely engage with the US.,Cuba seems reluctant not to genuinely engage with the US.
2168,5.313062,-0.88843375,1.7282925,1.7900953999999998,0,1,1,1,We should support enforcing term limits on the executive branch of government,"the longer someone is  in power, the more likely he will use it for personal advantage","the longer someone is not  in power, the more likely he will use it for personal advantage"
2169,5.4889884,-1.0409351999999998,1.752389,1.7748264,0,1,1,1,We should support enforcing term limits on the executive branch of government,"as times went one, the more someone is in control of his power, the more likely he will succumb to use such power for personal advantage","as times went one, the less someone is in control of his power, the more likely he will succumb to use such power for personal advantage"
2191,4.15919,-0.7283951,1.5993915,1.7185445,0,1,1,1,We should support enforcing term limits on the executive branch of government,there should be a tenancy for the executive branch of government as to keep in check the power of its leaders,there should not be a tenancy for the executive branch of government as to keep in check the power of its leaders
2203,3.8692884,0.5775714,1.4215571000000002,1.6109022,0,1,1,1,Bribery is sometimes acceptable,Bribery is occasionally a necessary price of engaging in business.,Bribery is not occasionally a necessary price of engaging in business.
2238,2.8511639,-3.819527,1.1676445,1.6169063999999997,0,1,1,1,Abolish the US Electoral College,The reasons for which the Founding Fathers created the Electoral College are no longer relevant.,The reasons for which the Founding Fathers created the Electoral College are not no longer relevant.
2259,5.94453,-6.0183525,1.4178444,1.5791941,0,1,1,1,Stop the Olympic Games,This would result in Islamophobic panics and knee jerk reactions across the world.,This would not result in Islamophobic panics and knee jerk reactions across the world.
2270,1.9104291000000002,-0.8094501000000001,0.8272888,1.1104584,0,1,1,1,The Dalai Lama’s ‘third way’ in Tibet,The 'Middle Way' has international support,The 'Middle Way' doesn't have international support
2312,-1.8275647000000002,2.0477456999999997,0.08277815599999999,0.030672013999999997,1,0,0,0,We should not slaughter animals which have not been stunned first.,The slaughter of animals before stunning them is not a significant issue.,The slaughter of animals before stunning them is a significant issue.
2317,2.9030793,-2.7317642999999996,1.0860211000000002,1.963623,0,1,1,1,Abolish congressional earmarks,"Earmarks do not accord with democratic principles of equity, fairness and justice","Earmarks do accord with democratic principles of equity, fairness and justice"
2326,-1.8317552,2.0200567,0.30711716,0.09702611,1,0,0,0,Abolish congressional earmarks,Congress is one of the checks of the check and balance system that reins in the executive branch.,Congress is not one of the checks of the check and balance system that reins in the executive branch.
2335,1.3596556,-1.4918767,0.86565053,1.2747008999999998,0,1,1,1,We should pull out of the Article 98 Agreements that prevent US soldiers from being sent to the ICC for trial,Article 98 Agreements are unlikely to be needed,Article 98 Agreements are not unlikely to be needed
2366,4.3549430000000005,-1.3808790000000002,1.6759863000000002,1.864845,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,The United States has an obligation to protect international stability due to its unique military strength.,The United States doesn't have an obligation to protect international stability due to its unique military strength.
2367,4.4093676,-1.2008591,1.6515146,1.8745368999999998,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,The US must protect the international community.,The US must not protect the international community.
2370,6.1252913,-2.0373049,1.8043200000000001,1.8116363999999998,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,"If the US does not act on Iran, Israel will","If the US does act on Iran, Israel will"
2373,4.999246,-2.1656404,1.7863412,1.9337525000000002,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,The threat of a state developing nuclear weapons could instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons,The threat of a state developing nuclear weapons could not instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons
2374,5.207029299999999,-1.7643474,1.7727201000000001,1.9601728999999999,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,Other countries could strike against those developing nuclear weapons to protect themselves.,Other countries could not strike against those developing nuclear weapons to protect themselves.
2375,4.89889,-1.9552418000000003,1.7712758999999998,1.9359157999999999,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,"To keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike."," Not to keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike."
2376,5.354211299999999,-1.3086403999999998,1.7309849,1.9009877,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,The intention of a state to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.,The intention of a state not to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.
2385,5.0276255999999995,-1.2603503,1.7130075,1.9329736000000002,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,Possessing nuclear weapons will be counter to the peaceful interests of states,Possessing nuclear weapons will not be counter to the peaceful interests of states
2386,5.5111300000000005,-1.3361866000000002,1.7477859,1.8360894,0,1,1,1,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,Nuclear waste disposal is rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons  ,Nuclear waste disposal is not rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons  
