Label,x,y,claim,perspective,opposite_auto
1,0,0,Positive Discrimination Towards Women in Society Is Justified,Parliament must be representative of our society and that requires a substantial increase in the number of women which only positive discrimination can achieve,Parliament needn't be representative of our society and that requires a substantial increase in the number of women which only positive discrimination can achieve
1,0,0,Positive Discrimination Towards Women in Society Is Justified,Female role models are needed urgently to raise aspirations among young women and change parliamentary practices,Female role models are not needed urgently to raise aspirations among young women and change parliamentary practices
1,0,0,Positive Discrimination Towards Women in Society Is Justified,In order to change parliamentary practices it is urgent to have female role models to raise aspirations among young women.,In order to change parliamentary practices it is not urgent to have female role models to raise aspirations among young women.
0,0,0,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination for women is discrimination,Positive discrimination for women is not discrimination
1,0,0,Positive Discrimination Towards Women in Society Is Justified,Women are vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament. ,Women are not vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament.
1,0,0,Positive Discrimination Towards Women in Society Is Justified,"Until as recently as 20 years ago, no more than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic","Until as recently as 20 years ago, no less than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic"
1,0,0, College education is worth it,College graduates are more productive as members of society.,College graduates are not more productive as members of society.
1,0,0, College education is worth it,An increase of graduates from college is beneficial to those in society who never attend college.,An increase of graduates from college is not beneficial to those in society who never attend college.
0,0,0, College education is worth it,"Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. ","Some argue that a college education may be necessary, since there are many people who have succeeded despite not having college degrees."
0,0,0, College education is worth it,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.","The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated."
0,0,0, College education is worth it,Many college graduates are employed in jobs that do not require college degrees.,Many college graduates are employed in jobs that do require college degrees.
0,0,0, College education is worth it,Many people with college degrees find themselves working in positions in which their degrees are not a requirement. ,Many people with college degrees find themselves working in positions in which their degrees are a requirement.
0,0,0, College education is worth it,More and more college educated people are accepting jobs for which they do not need a college education. ,More and more college educated people are accepting jobs for which they do need a college education.
1,0,0, College education is worth it,One of the benefits of a college education is the exposure it provides to a multitude of people and ideas.,One of the benefits of a college education is not the exposure it provides to a multitude of people and ideas.
1,0,0, College education is worth it,College graduates are more likely to have health insurance and retirement plans.,College graduates are not more likely to have health insurance and retirement plans.
1,0,0, College education is worth it,Those who graduate from college are more likely to have retirement plans and health insurance.,Those who graduate from college are not more likely to have retirement plans and health insurance.
0,0,0, College education is worth it,There are more students that are having their views and values shifted during college than in the past.,There are not more students that are having their views and values shifted during college than in the past.
1,0,0, College education is worth it,The children of college graduates are healthier and more prepared for school.,The children of college graduates are not healthier and more prepared for school.
1,0,0, College education is worth it,Children are typically healthier and more studious when their parents have graduated  college.,Children are not typically healthier and more studious when their parents have graduated  college.
1,0,0, College education is worth it,More and more jobs require college degrees.,Less and more jobs require college degrees.
1,0,0, College education is worth it,A college degree is required for an increasing number of jobs.,A college degree is not required for an increasing number of jobs.
1,0,0, College education is worth it,More jobs only hire those with college degrees.,Less jobs only hire those with college degrees.
0,0,0, College education is worth it,A bachelor's degree is considered standard now.,A bachelor's degree is not considered standard now.
1,0,0, College education is worth it,College graduates have more and better employment opportunities.,College graduates have less and better employment opportunities.
1,0,0, College education is worth it,Earning a college degree is a major life achievement.,Earning a college degree is not a major life achievement.
1,0,0, College education is worth it,A college education is a significant accomplishment.,A college education is not a significant accomplishment.
1,0,0, College education is worth it,One of the most important things that one can achieve in their lifetime is a college education. ,One of the most important things that one can achieve in their lifetime is not a college education.
1,0,0, College education is worth it,College graduates make more money.,College graduates make less money.
1,0,0, College education is worth it,People who graduate from college have more earning power.,People who graduate from college have less earning power.
1,0,0, College education is worth it,Gaining a college education is money well spent. ,Gaining a college education is not money well spent.
1,0,0, College education is worth it,Earning college education is always a worthwhile investment. ,Earning college education is not always a worthwhile investment.
1,0,0, College education is worth it,Learning is always worthwhile.,Learning is not always worthwhile.
1,0,0, College education is worth it,Learning and education is always a good investment. ,Learning and education is not always a good investment.
0,0,0, College education is worth it,Many recent college graduates are un- or underemployed.,Many recent college graduates are not un- or underemployed.
0,0,0, College education is worth it,"In recent times, there are significant numbers of unemployed and underemployed college graduates. ","In recent times, there are not significant numbers of unemployed and underemployed college graduates."
0,0,0, College education is worth it,"Among those who are unemployed and underemployed, there are many college graduates. ","Among those who are not unemployed and underemployed, there are many college graduates."
1,0,0, College education is worth it,Attending college is a great way to network. ,Attending college is not a great way to network.
0,0,0, College education is worth it,A college degree is no guarantee of workplace benefits.,A college degree is not no guarantee of workplace benefits.
0,0,0, College education is worth it,There is no guarantee there will be benefits.,There is not no guarantee there will be benefits.
0,0,0, College education is worth it,Learning a trade profession is a better option than college for many young adults.,Learning a trade profession is not a better option than college for many young adults.
0,0,0, College education is worth it,Trade professions are in need of more individuals and it may be more profitable than going to college.,Trade professions are not in need of more individuals and it may be more profitable than going to college.
1,0,0, College education is worth it,College graduates are healthier and live longer.,College graduates are not healthier and live longer.
1,0,0, College education is worth it,Health and longevity are associated with graduating from a college.,Health and longevity are not associated with graduating from a college.
1,0,0, College education is worth it,College is an investment in health and longevity.,College is not an investment in health and longevity.
1,0,0, College education is worth it,Employers are attracted to locales with college graduates. ,Employers are not attracted to locales with college graduates.
1,0,0, College education is worth it,"The more college graduates in one geographical area, the more higher-paying employers will be found","The less college graduates in one geographical area, the more higher-paying employers will be found"
0,0,0, College education is worth it,College degrees do not guarantee learning or job preparation.,College degrees do guarantee learning or job preparation.
0,0,0, College education is worth it,Acquiring a degree does not guarantee you a job.,Acquiring a degree does guarantee you a job.
0,0,0,Socialism is Dead,Socialism has changed historically to meet the challenges of the moment and is addressing those of the 21st century in new ways,Socialism has changed historically to meet the challenges of the moment and is not addressing those of the 21st century in new ways
0,0,0,Socialism is Dead,Socialism can be molded to fit the needs of the moment. ,Socialism can't be molded to fit the needs of the moment.
0,0,0,Socialism is Dead,Socialism is a an ever changing set of principles that can be applied in new ways to meet the challenges of a changing world.,Socialism is not a an ever changing set of principles that can be applied in new ways to meet the challenges of a changing world.
1,0,0,Socialism is Dead,Socialism is no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.,Socialism is not no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.
1,0,0,Socialism is Dead,Capitalist principles are now being seen as a better option than Socialism even by the leaders of the Left. ,Capitalist principles are not now being seen as a better option than Socialism even by the leaders of the Left.
1,0,0,Socialism is Dead,Even the left fielders are now accepting capitalist principles over socialism in term of real way of life,Even the left fielders are not now accepting capitalist principles over socialism in term of real way of life
0,0,0,Socialism is Dead,Socialism is a more secure system than the free market in Capitalism,Socialism is not a more secure system than the free market in Capitalism
0,0,0,Socialism is Dead,Capitalism is less secure than socialist systems. ,Capitalism is not less secure than socialist systems.
1,0,0,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,Governments in countries where terrorism is prevalent should allocate tax dollars to a pool to compensate nations that have been victims.,Governments in countries where terrorism is not prevalent should allocate tax dollars to a pool to compensate nations that have been victims.
1,0,0,There is life after death,Life after death is strongly stated in the bible.,Life after death is not strongly stated in the bible.
1,0,0,There is life after death,The bible states that there is life after death.,The bible states that there is not life after death.
1,0,0,There is life after death,There is with certainty a Heaven and Hell.,There is not with certainty a Heaven and Hell.
1,0,0,There is life after death,There is a Heaven and there is a Hell.,There is not a Heaven and there is a Hell.
1,0,0,There is life after death,yes there is a heaven and a hell,yes there is not a heaven and a hell
1,0,0,There is life after death,My strong belief is that Heaven and Hell exist.,My strong belief is not that Heaven and Hell exist.
0,0,0,College football should replace the bowl championship series (BCS),The proposed playoff system alternatives are actually less fair than the BCS system in place.,The proposed playoff system alternatives are not actually less fair than the BCS system in place.
0,0,0,College football should replace the bowl championship series (BCS),The BCS rankings are designed to favor consistency over the course of the entire season.,The BCS rankings are not designed to favor consistency over the course of the entire season.
1,0,0,College football should replace the bowl championship series (BCS),"A playoff system would not mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.","A playoff system would mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible."
1,0,0,All drugs should be decriminalised,"In addition to our first argument: There is no legal bar on the purchase of alcoholic drink and cigarettes, though both are often addictive ","In addition to our first argument: There is not no legal bar on the purchase of alcoholic drink and cigarettes, though both are often addictive"
1,0,0,All drugs should be decriminalised,Why is it legitimate for the government to ban drugs,Why is not it legitimate for the government to ban drugs
1,0,0,Pensions should be privatised,Government pension schemes are not a viable or sustainable option.,Government pension schemes are a viable or sustainable option.
0,0,0,Pensions should be privatised,senior citizens should not and cannot be exposed to such naked risk on moral grounds,senior citizens should and cannot be exposed to such naked risk on moral grounds
1,0,0,Pensions should be privatised,Private Enterprise is more suited to long-term planning and sustainability,Private Enterprise is not more suited to long-term planning and sustainability
1,0,0,Pensions should be privatised,Private Business is more inclined towards future planning and sustainability.,Private Business is not more inclined towards future planning and sustainability.
1,0,0,Pensions should be privatised,State involvement in pensions is deleterious to both pensioners and the state.,State involvement in pensions is not deleterious to both pensioners and the state.
1,0,0,Pensions should be privatised,Government is fundamentally unsuited to running pension schemes.,Government is not fundamentally unsuited to running pension schemes.
0,0,0,You have nothing to worry about surveillance if you have done nothing wrong,There is no trust,There is not no trust
0,0,0,You have nothing to worry about surveillance if you have done nothing wrong,Trust is missing.,Trust is not missing.
1,0,0,You have nothing to worry about surveillance if you have done nothing wrong,There are safeguards to prevent misuse,There are not safeguards to prevent misuse
0,0,0,You have nothing to worry about surveillance if you have done nothing wrong,Power trips can be had by agencies.,Power trips can't be had by agencies.
1,0,0,You have nothing to worry about surveillance if you have done nothing wrong,information gathered  can be used to fight terrorism .,information gathered   can't be used to fight terrorism .
1,0,0,You have nothing to worry about surveillance if you have done nothing wrong,information gathered can be used to fight against radical terrorists. ,information gathered can't be used to fight against radical terrorists.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Blood sports cannot be justified by reference to their role in pest control or conservation,Blood sports can be justified by reference to their role in pest control or conservation
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Blood sports are not justified by their role in pest control or conservation.,Blood sports are justified by their role in pest control or conservation.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,The need for pest control or conservation does not justify blood sports. ,The need for pest control or conservation does justify blood sports.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Pest control or conservation arguments does not rationalize our use of animals as objects in blood sports.,Pest control or conservation arguments does rationalize our use of animals as objects in blood sports.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,The use of animals as objects in blood sports cannot be justified by the week argument that it provides benefit through pest control or conservation.,The use of animals as objects in blood sports can be justified by the week argument that it provides benefit through pest control or conservation.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,When animals are treated as property it prevents them from being perceieved as part of the moral community. ,When animals are not treated as property it prevents them from being perceieved as part of the moral community.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Animals are not percieved as part of the moral community when they are treated as property.,Animals are percieved as part of the moral community when they are treated as property.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Animals should not be treated as objects or property as doing so allows them to be treated amorally.,Animals should be treated as objects or property as doing so allows them to be treated amorally.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,"Animals are harmed when used as objects of entertainment, no matter how innocent that entertainment is","Animals are not harmed when used as objects of entertainment, no matter how innocent that entertainment is"
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Animals as entertainment is always harmful to the animals,Animals as entertainment is not always harmful to the animals
1,0,0,The use of animals as objects of sport and entertainment should be banned.,It is not possible to harmlessly have animals as entertainment,It is possible to harmlessly have animals as entertainment
1,0,0,The use of animals as objects of sport and entertainment should be banned.,The use of animals in sport is demeaning to humans. ,The use of animals in sport is not demeaning to humans.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Bullfighting is too dangerous to humans to justify,Bullfighting is not too dangerous to humans to justify
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Bullfighting is dangerous for humans and should be banned.,Bullfighting is not dangerous for humans and should be banned.
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Harming animals for entertainment is immoral,Harming animals for entertainment is not immoral
1,0,0,The use of animals as objects of sport and entertainment should be banned.,It is not moral to hurt animals for entertainment,It is moral to hurt animals for entertainment
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Hurting animals for fun is immoral,Hurting animals for fun is not immoral
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Bullfighting is a form of animal torture,Bullfighting is not a form of animal torture
1,0,0,The use of animals as objects of sport and entertainment should be banned.,Bullfighting is animal torture,Bullfighting is not animal torture
1,0,0,The use of animals as objects of sport and entertainment should be banned.,One form of animal torture is bullfighting,One form of animal torture is not bullfighting
0,0,0,We must support the use of truth and reconciliation commissions,Reconciliation can be used to conceal political corruption and patrimony,Reconciliation can't be used to conceal political corruption and patrimony
0,0,0,We must support the use of truth and reconciliation commissions,reconciliation can be used for political corruption,reconciliation can't be used for political corruption
1,0,0,We must support the use of truth and reconciliation commissions,Truth and reconciliation are more important than retribution following violent and long term conflicts,Truth and reconciliation are not more important than retribution following violent and long term conflicts
1,0,0,Puerto Rico should seek American statehood,Statehood is economically beneficial.,Statehood is not economically beneficial.
1,0,0,Puerto Rico should seek American statehood,English is not a problem for Puerto Rican statehood,English is a problem for Puerto Rican statehood
0,0,0,Puerto Rico should seek American statehood,Puerto Rican statehood is not economical for the US,Puerto Rican statehood is economical for the US
0,0,0,Puerto Rico should seek American statehood,Puerto Rican statehood will not benefit the US economically.,Puerto Rican statehood will benefit the US economically.
0,0,0,Puerto Rico should seek American statehood,Making Puerto Rico a state is not a good economic decision for the US. ,Making Puerto Rico a state is a good economic decision for the US.
0,0,0,Puerto Rico should seek American statehood,It would be better for the US if Puerto Rico does not become a state. ,It would be better for the US if Puerto Rico does become a state.
0,0,0,There is a good case for stating that there is a God,'God' is merely a concept designed to promote a set of values,'God' is not merely a concept designed to promote a set of values
0,0,0,There is a good case for stating that there is a God,People think that a benevolent God cannot exist because bad things happen...,People think that a benevolent God can exist because bad things happen...
0,0,0,There is a good case for stating that there is a God,"If there is a god, its the sun.","If there is not a god, its the sun."
1,0,0,There is a good case for stating that there is a God,Life is ridiculous without a God.  Belief in God is the only sane thing we discuss.,Life is not ridiculous without a God.  Belief in God is the only sane thing we discuss.
0,0,0,There is a good case for stating that there is a God,God is a concept dreamed up by optimistic people.,God is not a concept dreamed up by optimistic people.
0,0,0,The law on self defence should cover ‘grossly disproportionate’ actions,We should not allow state sponsored revenge,We should allow state sponsored revenge
0,0,0,The law on self defence should cover ‘grossly disproportionate’ actions,There is already enough leeway in the law of self defence.,There is not already enough leeway in the law of self defence.
1,0,0,Animal testing should be banned.,"Animals can suffer like humans do, so it is speciesism to experiment on them while we refrain from experimenting on humans.","Animals can suffer like humans do, does not mean it is speciesism to experiment on them while we refrain from experimenting on humans."
1,0,0,Animal testing should be banned.,"While both people and animals both suffer, most animals suffer more than people do.","While both people and animals both suffer, most animals suffer less than people do."
1,0,0,Animal testing should be banned.,Most animals can suffer more than some people,Most animals can suffer less than some people
1,0,0,Animal testing should be banned.,"People can suffer, but most animals can suffer more. ","People can suffer, but most animals can suffer less ."
0,0,0,Animal testing should be banned.,Animals are treated well during animal testing. ,Animals are not treated well during animal testing.
0,0,0,Animal testing should be banned.,Research animals are well treated ,Research animals are not well treated
0,0,0,Animal testing should be banned.,"Animals do not have rights, therefore it is acceptable to experiment on them.","Animals do have rights, therefore it is acceptable to experiment on them."
0,0,0,Animal testing should be banned.,Animals don't have rights.,Animals do have rights.
1,0,0,Animal testing should be banned.,Harming animals is a bad thing.,Harming animals is not a bad thing.
1,0,0,Animal testing should be banned.,Animals shouldn't be put through harmful situations.,Animals should be put through harmful situations.
1,0,0,Animal testing should be banned.,Animals are severely harmed by research done on them.,Animals are not severely harmed by research done on them.
1,0,0,Animal testing should be banned.,"When research is done on animals, it causes them severe harm.","When research is not done on animals, it causes them severe harm."
0,0,0,Animal testing should be banned.,Testing is needed for really new drugs,Testing is not needed for really new drugs
0,0,0,Animal testing should be banned.,Animal research is only used when it’s needed,Animal research is not only used when it’s needed
0,0,0,Animal testing should be banned.,We try to only use animal testing when it is needed.  ,We try to only use animal testing when it is not needed.  
0,0,0,Animal testing should be banned.,"Sometimes we have no other choices for Animal research, but then to do some animal testing. ","Sometimes we have no other choices for Animal research, but doesn't mean to do some animal testing."
0,0,0,Animal testing should be banned.,There are no satisfactory alternatives to animal research,There are not no satisfactory alternatives to animal research
1,0,0,Animal testing should be banned.,Animal testing is cruel and inhumane.,Animal testing is not cruel and inhumane.
1,0,0,Animal testing should be banned.,Drugs that pass animal tests are not necessarily safe.,Drugs that pass animal tests are necessarily safe.
0,0,0,Animal testing should be banned.,Most animals that are used in scientific testing have better lives. ,Most animals that are not used in scientific testing have better lives.
1,0,0,Animal testing should be banned.,"Number 2 is a lie, there ARE alternatives to animal testing! Other companies use them, and animal testing doesnt prove anything, because although close, they arent people.","Number 2 is not a lie, there ARE alternatives to animal testing! Other companies use them, and animal testing doesnt prove anything, because although close, they arent people."
1,0,0,Animal testing should be banned.,Animal tests do not reliably predict results in human beings.,Animal tests do reliably predict results in human beings.
1,0,0,Animal testing should be banned.,Animal tests are more expensive than alternative methods and are a waste of government research dollars.,Animal tests are not more expensive than alternative methods and are a waste of government research dollars.
1,0,0,Animal testing should be banned.,"Religious traditions tell us to be merciful to animals, so we should not cause them suffering by experimenting on them.","Religious traditions tell us to be merciful to animals, so we should cause them suffering by experimenting on them."
0,0,0,Animal testing should be banned.,Animals are the only choice for testing. ,Animals are not the only choice for testing.
0,0,0,Animal testing should be banned.,Animals are appropriate research subjects because they are similar to human beings in many ways. ,Animals are not appropriate research subjects because they are similar to human beings in many ways.
0,0,0,Animal testing should be banned.,Some cosmetics and health care products must be tested on animals to ensure their safety.,Some cosmetics and health care products needn't be tested on animals to ensure their safety.
1,0,0,Animal testing should be banned.,Medical breakthroughs can be achieved without doing any scientific or commercial experiment on animals ,Medical breakthroughs can't be achieved without doing any scientific or commercial experiment on animals
1,0,0,Animal testing should be banned.,95% of animals used in experiments are not protected by the Animal Welfare Act.,95% of animals used in experiments are protected by the Animal Welfare Act.
1,0,0,Animal testing should be banned.,animal experiments are not always accurate,animal experiments are always accurate
0,0,0,Instant Replay Should Be Used in Major League Baseball,video cannot catch all plays at a game,video can catch all plays at a game
1,0,0,Instant Replay Should Be Used in Major League Baseball,With more accurate calls come more legitimate outcomes to games,With less accurate calls come more legitimate outcomes to games
1,0,0,Instant Replay Should Be Used in Major League Baseball,"Wins and losses matter, so does the instant replay. It matters to get things right.","Wins and losses matter, does not mean does the instant replay. It matters to get things right."
1,0,0,Instant Replay Should Be Used in Major League Baseball,Major League Baseball should expand instant replay for more accurate calls.,Major League Baseball should expand instant replay for less accurate calls.
1,0,0,Instant Replay Should Be Used in Major League Baseball,Umpires Approve Instant Replay for Major League Baseball so they can make more accurate calls.,Umpires Approve Instant Replay for Major League Baseball does not mean they can make more accurate calls.
1,0,0,Instant Replay Should Be Used in Major League Baseball,Using instant replay helps make sure the right calls are made,Using instant replay helps make sure the right calls are not made
0,0,0,Instant Replay Should Be Used in Major League Baseball,there is confusion in viewing instant replay,there is not confusion in viewing instant replay
0,0,0,Instant Replay Should Be Used in Major League Baseball,Why even have an umpire if every play can be instantly replayed?,Why even have an umpire if every play can't be instantly replayed?
1,0,0,Instant Replay Should Be Used in Major League Baseball,"It’s not possible to get every call right, so instant replay is a necessary supplement to umpires’ skill","It’s possible to get every call right, so instant replay is a necessary supplement to umpires’ skill"
0,0,0,Instant Replay Should Be Used in Major League Baseball,Tradition demands that this instant replay not be used,Tradition demands that this instant replay be used
0,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay is not beneficial to the game,Instant replay is beneficial to the game
0,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay should not be used during baseball games,Instant replay should be used during baseball games
1,0,0,Antarctica Should Be Opened Up For Resource Exploitation,Antartic resource exploitation is unevitable: Let's do it orderly!,Antartic resource exploitation is not unevitable: Let's do it orderly!
1,0,0,Antarctica Should Be Opened Up For Resource Exploitation,"Exploiting Antartica for its resources must be done with careful planning, organization and care for the land.","Exploiting Antartica for its resources needn't be done with careful planning, organization and care for the land."
0,0,0,Kill One to Save Many,We cannot make any judgments about whose life is valuable and whose is not,We can make any judgments about whose life is valuable and whose is not
0,0,0,Kill One to Save Many,Killing is worse than letting someone die,Killing is not worse than letting someone die
0,0,0,Kill One to Save Many,The act of killing is emotionally damaging,The act of killing is not emotionally damaging
0,0,0,Kill One to Save Many,We instinctively know killing is wrong,We instinctively know killing is not wrong
0,0,0,Kill One to Save Many,We do not want a society in which killing can be acceptable,We do want a society in which killing can be acceptable
0,0,0,It is fine to kill one to save many,We should not will a world where killing is acceptable in to existencele in to existence,We should will a world where killing is acceptable in to existencele in to existence
